Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,65.000000,65.000000,61.639999,61.639999,59.815247,400
2018-05-22,61.639999,61.639999,61.639999,61.639999,59.815247,0
2018-05-23,59.400002,59.520000,57.500000,58.250000,56.525608,91200
2018-05-24,59.130001,59.299999,57.599998,58.250000,56.525608,230800
2018-05-25,58.000000,58.099998,57.500000,57.650002,55.943367,21300
2018-05-29,57.290001,61.990002,57.290001,58.490002,56.758499,46300
2018-05-30,59.799999,62.320000,59.500000,59.840000,58.068535,27500
2018-05-31,65.000000,65.000000,59.110001,59.500000,57.738602,414200
2018-06-01,59.549999,63.150002,58.549999,61.400002,59.582352,5185500
2018-06-04,61.700001,65.690002,61.490002,63.160000,61.290253,3044800
2018-06-05,64.410004,66.949997,63.549999,66.430000,64.463448,2916300
2018-06-06,66.000000,66.449997,62.400002,62.470001,60.620682,3606700
2018-06-07,61.900002,62.459999,60.299999,61.889999,60.057846,3075900
2018-06-08,61.270000,63.209999,60.650002,62.880001,61.018539,1922800
2018-06-11,62.459999,62.860001,61.259998,61.320000,59.504719,1701100
2018-06-12,60.070000,61.990002,60.049999,60.520000,58.728405,1810100
2018-06-13,60.650002,60.959999,59.490002,59.660000,57.893867,2651400
2018-06-14,60.150002,60.790001,59.349998,60.549999,59.004772,1200800
2018-06-15,60.049999,62.325001,59.841000,61.840000,60.261845,3198600
2018-06-18,60.750000,62.180000,60.750000,61.450001,59.881798,1343400
2018-06-19,61.369999,61.660000,60.810001,61.500000,59.930531,1419400
2018-06-20,61.520000,62.840000,61.500000,61.900002,60.320320,1335700
2018-06-21,61.700001,62.500000,60.919998,62.090000,60.505470,1389000
2018-06-22,62.450001,63.950001,62.090000,63.380001,61.762550,2364100
2018-06-25,62.430000,63.000000,60.840000,61.900002,60.320320,1452700
2018-06-26,62.830002,62.939999,60.619999,61.160000,59.599201,1871100
2018-06-27,60.900002,61.610001,59.570000,59.930000,58.400589,1082700
2018-06-28,59.639999,59.720001,57.959999,58.730000,57.231213,2183600
2018-06-29,58.849998,60.150002,58.540001,58.830002,57.328663,2352300
2018-07-02,58.599998,58.849998,57.160000,57.680000,56.208012,1040700
2018-07-03,57.669998,58.540001,57.400002,57.549999,56.081329,318300
2018-07-05,57.770000,59.389999,57.310001,59.049999,57.543045,1089000
2018-07-06,59.270000,60.099998,59.060001,59.459999,57.942585,629300
2018-07-09,59.810001,60.490002,58.740002,58.970001,57.465092,681400
2018-07-10,58.099998,59.450001,58.070000,58.500000,57.007084,1602900
2018-07-11,58.070000,59.080002,57.770000,58.660000,57.162998,939500
2018-07-12,59.209999,59.240002,58.180000,58.709999,57.211727,564000
2018-07-13,58.759998,59.250000,58.259998,58.709999,57.211727,524500
2018-07-16,58.750000,59.299999,58.000000,58.500000,57.007084,616200
2018-07-17,58.270000,59.230000,57.580002,57.750000,56.276226,782600
2018-07-18,57.869999,59.240002,57.764999,59.009998,57.504066,693600
2018-07-19,58.740002,59.259998,58.000000,58.299999,56.812187,602900
2018-07-20,58.299999,58.880001,57.500000,58.340000,56.851170,318600
2018-07-23,58.119999,58.730000,57.730000,57.779999,56.305458,502100
2018-07-24,57.799999,58.380001,57.750999,57.900002,56.422401,656600
2018-07-25,57.520000,57.830002,55.869999,57.419998,55.954647,1169000
